D00017 4.53
D00408 2.24
D00591 6.03
D00632 4.22
D00654 6.09
D00723 3.15
D00726 5.21
D00761 1.48
D00762 3.7
D00763 4.15
D00860 3.47
D10040 6.88
D10202 5.34
D10326 1.92
D10511 7.15
D10523 4.97
D10537 4.45
D10667 4.56
D10704 5.09
D10922 6.24
D11086 4.71
D11094 5.87
D11139 5.18
D11151 4.91
D11428 6.1
D12485 6.93
D12620 4.71
D12676 5.57
D12763 5.96
D13118 5.02
D13146 7.82
D13168 4.22
D13305 6.61
D13413 4.72
D13435 7.01
D13540 5.8
D13626 3.44
D13627 5.49
D13628 5.03
D13630 3.44
D13631 6.25
D13633 4.81
D13634 4.6
D13635 5.67
D13639 4.7
D13640 5.57
D13641 6.15
D13642 4.15
D13644 4.7
D13705 5.76
D13748 7.01
D13814 3.83
D13897 2.51
D13900 5.98
D13969 7.2
D14134 4.27
D14446 4.78
D14520 4.66
D14530 4.13
D14533 4.56
D14657 7.93
D14660 4.44
D14662 4.93
D14663 4.24
D14678 6.29
D14686 4.02
D14689 0.27
D14710 6.59
D14812 4.68
D14826 4.86
D14838 4.05
D14874 5.69
D14878 5.26
D15049 5.04
D15050 6.53
D16105 5.0
D16154 4.22
D16181 3.98
D16217 5.4
D16227 3.22
D16294 3.87
D16350 5.31
D16469 3.93
D16480 5.15
D16481 6.98
D16532 5.26
D16583 5.54
D16688 5.44
D16815 4.46
D17461 5.47
D17525 2.47
D17547 4.89
D17570 6.06
D17716 5.96
D17793 5.39
D21089 1.4
D21090 8.13
D21163 6.21
D21205 5.76
D21239 3.17
D21241 6.25
D21255 6.54
D21260 6.19
D21261 4.0
D21262 4.63
D21337 4.5
D21851 6.26
D21853 5.1
D21878 3.26
D25215 4.4
D25218 5.32
D25248 5.91
D25278 5.65
D25303 4.08
D25304 5.98
D25328 7.06
D25538 2.93
D25539 3.71
D25547 9.48
D26018 5.56
D26067 4.8
D26069 4.73
D26070 4.97
D26129 3.49
D26156 2.85
D26308 5.72
D26350 3.49
D26362 5.96
D26528 4.92
D26561 6.09
D26598 3.62
D26599 6.25
D26600 3.93
D28118 3.32
D28124 2.94
D28137 4.63
D28235 3.39
D28383 5.53
D28416 3.94
D28423 3.71
D28473 4.51
D28476 6.48
D28539 4.67
D28589 5.85
D28791 3.4
D29012 4.36
D29641 5.66
D29643 4.01
D29805 4.25
D29833 5.56
D29954 5.84
D29963 7.02
D30036 5.85
D30655 6.79
D30715 3.6
D30755 4.17
D31716 6.47
D31762 4.5
D31765 3.63
D31766 4.48
D31815 5.98
D31833 4.38
D31846 6.27
D31884 4.12
D31885 7.76
D31887 5.72
D31889 5.97
D31890 9.17
D32002 5.84
D32050 4.11
D32129 4.43
D32202 3.29
D37781 5.92
D37931 5.1
D37965 4.2
D38037 6.74
D38047 6.88
D38048 3.1
D38076 4.92
D38081 3.94
D38122 5.14
D38145 5.14
D38163 7.64
D38251 5.73
D38293 5.86
D38305 4.55
D38437 8.38
D38462 4.67
D38496 4.67
D38498 6.94
D38500 3.85
D38502 4.41
D38503 7.11
D38522 5.13
D38524 6.92
